Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Maximum CPC bid limit,Campaign Status,Languages,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2
HD Search Sprint,,,,,,,,,Screen Repair,,,rescreen windows,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,rescreen,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,patio screen door repair,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,sliding screen door repair,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,screen door repair near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,window screen replacement near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,window screen repair hesperia,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,window screen repair victorville,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,,
HD Search Sprint,,,,,,,,,Screen Repair,,,,,Enabled,Responsive search ad,Screen Re-Mesh $64.99,"All Weather Mesh, On Site",Keep Your Frames,Done The Same Visit,Two Year Warranty,Patio Doors Too,Rated 5.0 On Google,"Hesperia, Victorville, AV",No Trip To A Shop,Openings This Week,"Text A Photo, Get A Price",$149 Job Minimum,"$64.99 a screen, all weather mesh. Keep your frames, we re-mesh on site. $149 minimum.",Sun rotted builder mesh replaced with mesh built for desert wind and sun. Sliders too.,Locally owned in Hesperia. 5.0 from 25 Google reviews. Same week appointments.,Send a photo of the worst one and we send a price the same day. Two year warranty.,https://twindowclean.com/screen-repair.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=screens,screen,high-desert
HD Search Sprint,,,,,,,,,Hard Water,Enabled,5.00,,,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,Hard Water,,,hard water stains on windows,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/hard-water-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=hardwater,,
HD Search Sprint,,,,,,,,,Hard Water,,,hard water stain removal glass,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/hard-water-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=hardwater,,
HD Search Sprint,,,,,,,,,Hard Water,,,remove hard water stains from windows,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/hard-water-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=hardwater,,
HD Search Sprint,,,,,,,,,Hard Water,,,window hard water spot removal,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/hard-water-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=hardwater,,
HD Search Sprint,,,,,,,,,Hard Water,,,hard water spots on windows,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/hard-water-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=hardwater,,
HD Search Sprint,,,,,,,,,Hard Water,,,,,Enabled,Responsive search ad,Hard Water Stain Removal,From $12 Per Pane,Free Test Pane First,"If Windex Failed, Call Us",Honest Call On Etched Glass,Rated 5.0 On Google,High Desert Glass Experts,Send A Photo Of The Pane,Openings This Week,Added To A $149 Clean,,,"The cloudy band on your windows is mineral, not dirt. We test one pane free, then restore.",Stage one comes off completely. Stage two we tell you before you pay. Hesperia based.,Text a photo of the worst pane and we tell you if it is stage one or two the same day.,,https://twindowclean.com/hard-water-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=hardwater,hard,high-desert
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,Enabled,5.00,,,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,commercial window cleaning,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,storefront window cleaning,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,office window cleaning,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,business window cleaning,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,storefront window cleaning near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,commercial window cleaning near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,commercial window cleaning victorville,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,commercial window cleaning hesperia,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,commercial window cleaning apple valley,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,,
HD Search Sprint,,,,,,,,,Commercial Window Cleaning,,,,,Enabled,Responsive search ad,Storefront Glass From $89,"Per Visit, After Hours",One Invoice A Month,"Month To Month, No Contract","Weekly $69, Biweekly $79","Insured, COI On Request","Victorville, Hesperia, AV",Free Walkthrough This Week,Medical & Dental Suites,"Free Walkthrough, Firm Price",Same Crew Every Visit,Graffiti & Adhesive Too,"Storefront glass inside and out from $89 a visit, worked after close. One invoice a month.","Barbershops, restaurants, medical suites, property managers. Same crew every visit.","Free walkthrough, firm per visit price. Weekly $69, biweekly $79, monthly $89.","Certificate of insurance on request. Month to month, seven days notice, no fee.",https://twindowclean.com/commercial-window-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=commercial,commercial,high-desert
HD Search Sprint,,,,,,,,,Graffiti Removal,Enabled,5.00,,,,,,,,,,,,,,,,,,,,,,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,graffiti removal,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,graffiti removal near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,graffiti removal service,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,remove graffiti from glass,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,window decal removal,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,vinyl lettering removal,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,graffiti removal victorville,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,,
HD Search Sprint,,,,,,,,,Graffiti Removal,,,,,Enabled,Responsive search ad,Graffiti Removal From $129,Usually Same Day,Painted Or Etched? We Check,Photos For The City,Old Vinyl & Decals Off,Storefront Glass & Frames,"Victorville, Hesperia, AV",Send A Photo Of The Tag,Ten Minutes From Old Town,Documented Before & After,,,"Tags off storefront glass, frames and signage, usually same day. From $129.",We tell you if it is painted or etched before we start. Dated photos for the city.,Old signage adhesive and vinyl lettering removed with a staged solvent process. From $129.,Text a photo of the tag and we reply with a time and a price. Usually same day.,https://twindowclean.com/graffiti-removal.html?utm_source=google&utm_medium=cpc&utm_campaign=hd-sprint&utm_content=graffiti,graffiti,high-desert
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,Enabled,5.00,,,,,,,,,,,,,,,,,,,,,,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar panel cleaning,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar panel cleaning near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar panel cleaning service,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,clean solar panels,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar cleaning,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar panel cleaners,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar panel cleaning fontana,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar panel cleaning rancho cucamonga,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,solar panel cleaning ontario,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,,
IE Search Solar Pigeon,,,,,,,,,Solar Panel Cleaning IE,,,,,Enabled,Responsive search ad,Solar Panel Cleaning From $7,"Per Panel, Purified Water",Free Array Inspection,Pigeon Check Included,Rated 5.0 On Google,Fontana & Rancho Cucamonga,"Inland Empire, Same Week",Firm Price Before We Start,Openings This Week,Text Us A Photo For A Price,No Foot Traffic On Panels,20 Panels About $140 to $160,Purified water and a soft brush on a water fed pole. Dries spot free. From $7 per panel.,Free array inspection with every clean. We check for pigeon nesting while we are up there.,Serving the Inland Empire on planned days. 5.0 from 25 Google reviews. Firm price first.,"Openings this week in Fontana, Rancho Cucamonga and Ontario. Firm price before we start.",https://twindowclean.com/solar-panel-cleaning.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=solar-ie,solar,inland-empire
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,Enabled,5.00,,,,,,,,,,,,,,,,,,,,,,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeon proofing,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeon proofing solar panels,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,solar panel bird proofing,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,bird proofing solar panels,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeons under solar panels,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,solar panel pigeon mesh,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeon removal solar,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeon proofing near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,bird control solar panels,Phrase,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeon proofing fontana,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeon proofing rancho cucamonga,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,pigeon proofing san bernardino,Exact,Enabled,,,,,,,,,,,,,,,,,,https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,,
IE Search Solar Pigeon,,,,,,,,,Pigeon Proofing IE,,,,,Enabled,Responsive search ad,Pigeon Proofing From $450,Two Year Warranty In Writing,"Clips, Never Bolts",Nests & Droppings Removed,Free Roof Inspection,Panel Warranty Stays Intact,Rated 5.0 On Google,Fontana & Rancho Cucamonga,Solar Wash Included Now,Openings This Week,Free Inspection This Week,Done In One Day,"Full cleanout, rust resistant mesh clipped to the frame, sealed. Two year warranty.",Bolted mesh voids panel warranties and tears loose in wind. Ours is clipped. From $450.,"Free roof inspection, firm quote in writing, done in one day. Includes a solar panel wash.","Rated 5.0 on Google. Free roof inspection and a firm quote in writing, Inland Empire.",https://twindowclean.com/pigeon-proofing.html?utm_source=google&utm_medium=cpc&utm_campaign=ie-sprint&utm_content=pigeons-ie,pigeon,inland-empire
